"month","density","count"
0.25,0.0264965652600589,27
0.75,0.0255152109911678,26
1.25,0.0382728164867517,39
1.75,0.028459273797841,29
2.25,0.0323846908734053,33
2.75,0.0480863591756624,49
3.25,0.0520117762512267,53
3.75,0.0549558390578999,56
4.25,0.0628066732090285,64
4.75,0.0794896957801766,81
5.25,0.0755642787046124,77
5.75,0.108930323846909,111
6.25,0.0932286555446516,95
6.75,0.0922473012757605,94
7.25,0.108930323846909,111
7.75,0.0922473012757605,94
8.25,0.0932286555446516,95
8.75,0.0912659470068695,93
9.25,0.0951913640824338,97
9.75,0.0893032384690873,91
10.25,0.0804710500490677,82
10.75,0.0696761530912659,71
11.25,0.0657507360157017,67
11.75,0.055937193326791,57
12.25,0.056918547595682,58
12.75,0.055937193326791,57
13.25,0.0412168792934249,42
13.75,0.0412168792934249,42
14.25,0.0245338567222767,25
14.75,0.0264965652600589,27
15.25,0.0127576054955839,13
15.75,0.0274779195289499,28
16.25,0.013738959764475,14
16.75,0.0127576054955839,13
17.25,0.00686947988223749,7
17.75,0.00196270853778214,2
18.25,0.00490677134445535,5
18.75,0.00196270853778214,2
19.25,0.00294406280667321,3
19.75,0.00294406280667321,3
20.25,0.00196270853778214,2
20.75,0,0
21.25,0.00196270853778214,2
21.75,0,0
22.25,0,0
22.75,0.00098135426889107,1
